FID,District ,Block,Village,Typeof Observationl Well,Latitude,Longitude,WQL,WQL Category
1,Ambala,Ambala-I,Nasirpur,PT,30.3510372,76.75955617,450,2
2,Ambala,Ambala-I,Bullana,DW,30.32341311,76.72988421,1450,2
3,Ambala,Ambala-I,Bhurangpur,DW,30.2743537,76.63769407,2250,1
4,Ambala,Ambala-I,Pinjola,DW,30.26,76.6,850,2
5,Ambala,Ambala-I,Khanna Majra,DW,30.23965094,76.64321211,1450,2
6,Ambala,Ambala-I,Baknaur,DW,30.25798474,76.66079106,900,2
7,Ambala,Ambala-I,Chaur Mastpur,DW,30.28256778,76.69212546,1850,2
8,Ambala,Ambala-I,Hasanpur,DW,30.21,76.9,1000,2
9,Ambala,Ambala-I,Chhapra,DW,30.1081614,76.61392403,1200,2
10,Ambala,Ambala-I,Jansui,DW,30.20483122,76.66304934,1450,2
11,Ambala,Ambala-I,Ambala City,DW,30.34094329,76.81059114,750,2
12,Ambala,Ambala-I,Ugara,DW,30.31,76.8,1200,2
13,Ambala,Ambala-I,Tharwa,DW,30.27450333,76.7912489,1000,2
14,Ambala,Ambala-I,Bichpari,DW,30.23722005,76.7768713,1800,2
15,Ambala,Ambala-I,Tejan,DW,30.2666513,76.74140302,1000,2
16,Ambala,Ambala-I,Behbalpur,DW,30.29635301,76.76196944,1850,2
17,Ambala,Ambala-I,Dukheri,DW,30.28,76.88,800,2
18,Ambala,Ambala-I,Mohra,DW,30.26389974,76.85106309,900,2
19,Ambala,Ambala-I,Shahpur,PT,30.24061576,76.68479957,1800,2
20,Ambala,Ambala-I,Kalumazra,DW,30.37614598,76.73261639,950,2
21,Ambala,Ambala-II,Ambala Cantt.,DW,30.36782974,76.82998066,750,2
22,Ambala,Ambala-II,Lohgarh,DW,30.42268204,76.76454006,950,2
23,Ambala,Ambala-II,Mandaur,DW,30.4013428,76.80611443,850,2
24,Ambala,Ambala-II,Panjokhra,DW,30.40944287,76.84888791,900,2
25,Ambala,Ambala-II,Boh,DW,30.38,76.88,750,2
26,Ambala,Ambala-II,Khojkipur,DW,30.326468,76.86915117,700,2
27,Ambala,Ambala-II,Bara Khudda,DW,30.31927671,76.90224259,800,2
28,Ambala,Ambala-II,Kapoori/Saphera,PT,30.33732484,76.92697906,650,2
29,Ambala,Barara,Akalgarh,PT,30.15342682,77.02310249,1050,2
30,Ambala,Barara,Holi,PT,30.23330015,77.0683154,750,2
31,Ambala,Barara,Manki,DW,30.23393733,77.1403105,600,2
32,Ambala,Barara,Salehpur,DW,30.26179404,77.10347521,850,2
33,Ambala,Barara,Binjalpur,DW,30.30555442,77.13396866,950,2
34,Ambala,Barara,Sohana,DW,30.25040493,77.02052461,800,2
35,Ambala,Barara,Tandwal,DW,30.22750611,76.97720125,1050,2
36,Ambala,Barara,Barara,PT,30.21066011,77.03828556,500,2
37,Ambala,Barara,Adhoya,PT,30.18311146,77.03715234,750,2
38,Ambala,Barara,Ugala,PT,30.19579995,76.97834963,800,2
39,Ambala,Saha,Tharwa,DW,30.27233309,76.78586041,800,2
40,Ambala,Saha,Nahoni,PT,30.30387798,77.01393036,750,2
41,Ambala,Saha,Malakpur,DW,30.3483728,76.98498989,650,2
42,Ambala,Saha,Mithapur,DW,30.31120066,76.94149527,650,2
43,Ambala,Saha,Bihta,DW,30.28,76.95,750,2
44,Ambala,Saha,Dinarpur,PT,30.23535106,76.90287879,950,2
45,Ambala,Saha,Khanpur,DW,30.25023507,76.87692506,900,2
46,Ambala,Saha,Nagla,DW,30.25240666,76.95098411,650,2
47,Ambala,Saha,Saha at Tepla,PT,30.31027191,76.97780461,1000,2
48,Ambala,Naraingarh,Naraingarh,DW,30.47393806,77.12181885,650,2
49,Ambala,Naraingarh,Khanpur,DW,30.53205696,77.1137131,550,2
50,Ambala,Naraingarh,Bhurewala,PT,30.53349082,77.08558895,700,2
51,Ambala,Naraingarh,Amli,PT,30.41463661,77.15617284,650,2
52,Ambala,Naraingarh,Nanhera,PT,30.43612463,77.15616828,900,2
53,Ambala,Naraingarh,Kazampur,PT,30.4330341,77.10722652,900,2
54,Ambala,Naraingarh,Budhha Khera,DW,30.35783854,77.0644873,700,2
55,Ambala,Naraingarh,Surgal,PT,30.359,77.133,600,2
56,Ambala,Shahzadpur,Rajpura,DW,30.36,77,600,2
57,Ambala,Shahzadpur,Chhota Korwa,PT,30.39705482,76.96537938,600,2
58,Ambala,Shahzadpur,Sadiqpur,DW,30.43213426,77.06390107,700,2
59,Ambala,Shahzadpur,Patvi,DW,30.43341655,76.95377287,750,2
60,Ambala,Shahzadpur,Baragarh,DW,30.46,77.06,850,2
61,Ambala,Shahzadpur,Mukandpur,DW,30.45868389,76.99632243,550,2
62,Ambala,Shahzadpur,Kakkar Majra,DW,30.45424302,77.03507032,800,2
63,Ambala,Shahzadpur,Samru,PT,30.44066482,76.92799954,650,2
64,Ambala,Shahzadpur,Khera Jattan,PT,30.44572245,76.9087044,900,2
65,Ambala,Shahzadpur,Shahzadpur,PT,30.44349928,77.0322464,500,2
66,Ambala,Shahzadpur,Bichali Dhamouli,PT,30.39507757,77.01127248,700,2
67,Ambala,Shahzadpur,Raiwali,PT,30.45648868,76.93400174,700,2
68,Panchkula,Pinjore,Kundi,DW,30.68,76.85,1200,2
69,Panchkula,Pinjore,Kiratpur,DW,30.84776686,76.86590469,700,2
70,Panchkula,Pinjore,Abdullahpur,DW,30.8082862,76.91521154,550,2
71,Panchkula,Pinjore,Ram Nagar,DW,30.8728679,76.86146609,800,2
72,Panchkula,Pinjore,Maranwala,DW,30.8997475,76.82760093,950,2
73,Panchkula,Pinjore,Shahpur,DW,30.92246877,76.81953731,850,2
74,Panchkula,Barwala,Ramgarh,DW,30.64846137,76.88405606,950,2
75,Panchkula,Barwala,Rattewali,DW,30.64145683,76.98195869,800,2
76,Panchkula,Barwala,Alipur,PT,30.59935786,76.9554138,750,2
77,Panchkula,Barwala,Toka,PT,30.61328094,76.97033194,650,2
78,Panchkula,Barwala,Bunga,DW,30.66577968,76.9694196,550,2
79,Panchkula,Barwala,Barwala,PT,30.55573808,76.93410783,950,2
80,Panchkula,Raipur Rani,Raipur Rani,PT,30.58223948,77.02335699,800,2
81,Panchkula,Raipur Rani,Shahjahanpur,DW,30.54754966,77.02180773,600,2
82,Panchkula,Raipur Rani,Mauli,PT,30.5250524,76.97435173,800,2
83,Panchkula,Raipur Rani,Hangola,DW,30.52874484,77.02949325,500,2
84,Panchkula,Raipur Rani,Rehna,DW,30.58807527,77.06251584,650,2
85,Yamunanagar,Jagadhari,Chaneti,PT,30.16499678,77.33890703,900,2
86,Yamunanagar,Jagadhari,Kait,DW,30.10098754,77.35216441,850,2
87,Yamunanagar,Jagadhari,Khurdi,DW,,77.2330904,950,2
88,Yamunanagar,Jagadhari,Kathwala,DW,30.20140395,77.25747664,700,2
89,Yamunanagar,Jagadhari,Kail,PT,30.18246184,77.24840761,1000,2
90,Yamunanagar,Jagadhari,Jharauda,PT,30.18952765,77.30110066,800,2
91,Yamunanagar,Jagadhari,Mandebari,PT,30.11880471,77.23567865,900,2
92,Yamunanagar,Jagadhari,Damla,PT,30.09429974,77.2214513,750,2
93,Yamunanagar,Mustafabad,Talakaur,PT,30.24253416,77.20129135,750,2
94,Yamunanagar,Mustafabad,Mali Majra,DW,30.19206832,77.12889957,800,2
95,Yamunanagar,Mustafabad,Mustafabad,PT,30.2,77.15,900,2
96,Yamunanagar,Mustafabad,Bal Chhappar,DW,30.24811742,77.23402616,700,2
97,Yamunanagar,Mustafabad,Bari Kanri,PT,30.18,77.18,800,2
106,Yamunanagar,Chhachhrauli,Chholi,DW,30.27048888,77.3373969,900,2
107,Yamunanagar,Chhachhrauli,Chhachhrauli,DW,30.24271182,77.35381232,1000,2
108,Yamunanagar,Chhachhrauli,Ledi,DW,30.30106179,77.38852457,900,2
109,Yamunanagar,Chhachhrauli,Rampur Jattan,DW,30.37936225,77.37936343,650,2
110,Yamunanagar,Chhachhrauli,Sahabudin Kalan,DW,30.34964657,77.43229451,850,2
111,Yamunanagar,Chhachhrauli,Bakarwala,DW,30.30839452,77.4465218,1000,2
112,Yamunanagar,Chhachhrauli,Baniyanwala,DW,30.34467822,77.46378784,1050,2
113,Yamunanagar,Chhachhrauli,Khizrabad,DW,30.2973033,77.49724732,800,2
114,Yamunanagar,Chhachhrauli,Bhood Kalan,DW,30.26561991,77.49664529,900,2
115,Yamunanagar,Chhachhrauli,Gulabgarh,DW,30.2706054,77.46560964,700,2
116,Yamunanagar,Chhachhrauli,Herewa,DW,30.22246101,77.40389305,550,2
117,Yamunanagar,Chhachhrauli,Deodhar,DW,30.23422692,77.46366737,1000,2
118,Yamunanagar,Chhachhrauli,Lahori Wala,DW,30.21,77.43,1050,2
119,Yamunanagar,Chhachhrauli,Shahzadpur,DW,30.16285724,77.37822801,800,2
120,Yamunanagar,Chhachhrauli,Kharwan,DW,30.2,77.36,900,2
121,Yamunanagar,Chhachhrauli,Fakirmajra,DW,30.34396029,77.42363757,700,2
122,Yamunanagar,Bilaspur,Bamnoli,DW,30.33878329,77.35792048,850,2
123,Yamunanagar,Bilaspur,Machhrauli,PT,30.34755596,77.29647549,750,2
124,Yamunanagar,Bilaspur,Rampur,DW,30.37662015,77.32144169,850,2
125,Yamunanagar,Bilaspur,Alisherpur Mazra,,30.38678305,77.35989642,750,2
126,Yamunanagar,Bilaspur,Rulaheri,DW,30.40975105,77.32790138,950,2
127,Yamunanagar,Bilaspur,Fatehpur Tumbi,DW,30.3322523,77.25087696,650,2
128,Yamunanagar,Bilaspur,Tunde Ki Taprian,DW,30.4,77.28,800,2
129,Yamunanagar,Bilaspur,Azizpur,DW,30.31349686,77.23477984,1050,2
130,Yamunanagar,Bilaspur,Dhalhour,DW,30.3203849,77.18985915,550,2
131,Yamunanagar,Bilaspur,Bari Pabni,DW,30.26972492,77.23076983,700,2
132,Yamunanagar,Bilaspur,Chagnauli,DW,30.26534618,77.30136196,900,2
133,Bhiwani,Dadri-1,Achina,D/W,28.66986986,76.37281881,3500,1
134,Bhiwani,Dadri-1,Bigowa,D/W,28.65495161,76.43571255,7000,0
135,Bhiwani,Dadri-1,Ghasola,D/W,28.54,76.26,2600,1
136,Bhiwani,Dadri-1,Gothra,D/W,28.52309608,76.31440851,6400,0
137,Bhiwani,Dadri-1,Jhinjjar,D/W,28.65883715,76.33585826,1900,2
138,Bhiwani,Dadri-1,Kapoori,D/W,28.58,76.28,1200,2
139,Bhiwani,Dadri-1,Misri,D/W,28.67005251,76.27064788,4000,1
140,Bhiwani,Dadri-1,Kanheti,D/M,28.61440605,76.3952525,14000,0
141,Bhiwani,Dadri-1,Mirch,D/W,28.63,76.26,2800,1
142,Bhiwani,Dadri-1,Mori,D/W,28.52710356,76.27643928,8000,0
143,Bhiwani,Dadri-1,Makrana,D/W,28.48812527,76.26961067,5900,1
144,Bhiwani,Dadri-1,Ranila,D/W,28.70076849,76.35770176,15000,0
145,Bhiwani,Dadri-1,Sankrod,D/W,28.74487921,76.28168517,5700,1
146,Bhiwani,Dadri-1,Sanjarwas,D/W,28.71712602,76.31388105,900,2
147,Bhiwani,Dadri-1,Sanwar,D/W,28.69,76.26,2700,1
148,Bhiwani,Dadri-1,Samaspur,D/W,28.60067756,76.31703207,3800,1
149,Bhiwani,Dadri-1,Unn,D/W,28.4622492,76.07514861,1700,2
150,Bhiwani,Dadri-1,Saroopgarh,D/W,28.6151183,76.41680057,4300,1
151,Bhiwani,Dadri-1,Malpose,,28.793,76.301,5200,1
152,Bhiwani,Dadri-1,Bound Kalan,D/W,28.779,76.338,5300,1
153,Bhiwani,Dadri-1,Ramnagar,D/W,28.556,76.272,4300,1
154,Bhiwani,Dadri-II,Badhwana,D/W,28.46,76.18,3100,1
155,Bhiwani,Dadri-II,Balrod (Chang road),D/W,28.45,76.21,4900,1
156,Bhiwani,Dadri-II,Bharavi,D/W,28.58970334,76.22646049,1700,2
157,Bhiwani,Dadri-II,Bijna,D/W,28.46623119,76.1425807,600,2
158,Bhiwani,Dadri-II,Birhi Kalan,D/W,28.59527771,76.15437599,2400,1
159,Bhiwani,Dadri-II,Chiriya,D/W,28.45400915,76.26029072,5600,1
160,Bhiwani,Dadri-II,Dudhwa,D/W,28.48045859,76.23684318,2800,1
161,Bhiwani,Dadri-II,Kheri Bura,D/W,28.58,76.2,2800,1
162,Bhiwani,Dadri-II,Mandola,D/W,28.51477402,76.21022347,2000,2
163,Bhiwani,Dadri-II,Mandoli,D/W,28.54235906,76.22318473,2800,1
164,Bhiwani,Dadri-II,Mankwas,D/W,28.57077341,76.10669084,2100,1
165,Bhiwani,Dadri-II,Noswa,D/W,28.43667359,76.28011882,2800,1
166,Bhiwani,Dadri-II,Paintawas Khurd,D/W,28.65,76.19,4200,1
167,Bhiwani,Dadri-II,Sarangpur,T/w,28.664,76.074,4400,1
168,Bhiwani,Dadri-II,Kalali,D/W,28.528,76.179,6500,0
169,Bhiwani,Dadri-II,Jhojhu,,28.524,76.142,4300,1
170,Bhiwani,Bawani Khera,Alakhpura,D/W,29.02,76.04,6200,0
171,Bhiwani,Bawani Khera,Barsi,D/W,29.04171511,76.02715628,3200,1
172,Bhiwani,Bawani Khera,Bhani Jattan,D/W,29.01,76.09,3200,1
173,Bhiwani,Bawani Khera,Bohal,D/W,28.95,75.93,4400,1
174,Bhiwani,Bawani Khera,Baliyali,D/W,28.88071921,75.99355857,4400,1
175,Bhiwani,Bawani Khera,Dhanana,D/W,28.92207292,76.16183069,5600,1
176,Bhiwani,Bawani Khera,Jita Kheri,D/W,29.00412966,75.99666048,1600,2
177,Bhiwani,Bawani Khera,Jatai,D/W,28.95190718,76.18366433,4400,1
178,Bhiwani,Bawani Khera,Kheri Dalautpur,D/W,28.98,76.06,7100,0
179,Bhiwani,Bawani Khera,Lohari Jattu,D/W,28.89961182,76.08107249,5600,1
180,Bhiwani,Bawani Khera,Malikpur,D/W,29.02348786,75.98876087,1700,2
181,Bhiwani,Bawani Khera,Mundhal Kalan,D/W,29.02142692,76.1702256,3800,1
182,Bhiwani,Bawani Khera,Mandhana,D/W,28.90795382,76.12616356,1800,2
183,Bhiwani,Bawani Khera,Pur,D/W,28.94323531,76.09217456,2600,1
184,Bhiwani,Bawani Khera,Runhat,D/W,29.00209149,75.91418508,1200,2
185,Bhiwani,Bawani Khera,Ratera,D/W,28.95023108,75.87885863,1200,2
186,Bhiwani,Bawani Khera,Talu,D/W,28.96330354,76.14465207,4000,1
187,Bhiwani,Bawani Khera,Bawani Khera,KOW,28.94172633,76.02905852,1500,2
188,Bhiwani,Bawani Khera,Sumrakhera,D/W,28.909,76.045,1650,2
189,Bhiwani,Bawani Khera,Dang Kalan,,28.854,75.99,1500,2
190,Bhiwani,Bhiwani,Bapora,D/W,28.81,76.06,1600,2
191,Bhiwani,Bhiwani,Biran,O/W,28.82164949,76.00892608,2060,1
192,Bhiwani,Bhiwani,Badala,D/W,28.75,76.25,2000,2
193,Bhiwani,Bhiwani,Chang,D/W,28.87337262,76.23994173,5700,1
194,Bhiwani,Bhiwani,Devsar,D/W,28.7548014,76.08502857,2200,1
195,Bhiwani,Bhiwani,Dhana Ladanpur,D/W,28.75,76.16,5600,1
196,Bhiwani,Bhiwani,Kaluwas,D/W,28.8264921,76.1713731,850,2
197,Bhiwani,Bhiwani,Golpura,T/well,28.63760772,76.0155075,2000,2
198,Bhiwani,Bhiwani,Kitlana,D/W,28.66762974,76.17586171,5200,1
199,Bhiwani,Bhiwani,Manheru,D/W,28.7,76.22,2000,2
200,Bhiwani,Bhiwani,Naraungabad,D/W,28.79376386,76.22422639,6200,0
201,Bhiwani,Bhiwani,Nathuwas,D/W,28.81248109,76.18361109,4600,1
202,Bhiwani,Bhiwani,Ninan,D/W,28.79264119,76.18270743,10950,0
203,Bhiwani,Bhiwani,Prem Nagar,D/W,28.87017432,76.10688665,2750,1
204,Bhiwani,Bhiwani,Pehladgarh,D/W,28.72902844,76.129772,14800,0
205,Bhiwani,Bhiwani,Rewari,D/W,28.83716586,76.24976021,10500,0
206,Bhiwani,Bhiwani,Rajgarh,D/W,28.69,76.09,1600,2
207,Bhiwani,Bhiwani,Rupgarh,D/W,28.69,76.11,2400,1
208,Bhiwani,Bhiwani,Sai,D/W,28.88416976,76.280852,4400,1
209,Bhiwani,Bhiwani,Tigrana,D/W,28.85748019,76.13787771,2500,1
210,Bhiwani,Bhiwani,Kharak Kalan,,28.80392185,76.26832057,5900,1
211,Bhiwani,Bhiwani,Kalinga,,28.78621558,76.19408112,5100,1
212,Bhiwani,Bhiwani,Sirsa,,28.823,76.262,7800,0
213,Bhiwani,Bhiwani,Gujrani,,28.84475151,76.17172623,1200,2
214,Bhiwani,Bhiwani,Mithatal,,28.884,76.175,9800,0
215,Bhiwani,Bhiwani,Sanga,,28.779,76.226,2200,1
216,Bhiwani,Bhiwani,Jharwai,,28.84453384,75.8775298,10700,0
217,Bhiwani,Bhiwani,Nimriwali,,28.71199498,76.14189696,2400,1
218,Bhiwani,Bhiwani,Badeshra,D/W,28.91643682,76.21116029,1800,2
219,Bhiwani,Bhiwani,Bhiwani,KOW,28.77871173,76.13204665,2530,1
220,Bhiwani,Tosham,Alampur,D/W,28.78418049,75.86158017,1100,2
221,Bhiwani,Tosham,Baganwala,D/W,28.87879978,75.88065863,4300,1
222,Bhiwani,Tosham,Badala,D/W,28.8286216,75.80591366,2200,1
223,Bhiwani,Tosham,Dinod,D/W/T/w,28.78182503,76.04499372,3200,1
224,Bhiwani,Tosham,Dadam,D/W,28.85912623,75.84224346,3200,1
225,Bhiwani,Tosham,Dhani Mahu,D/W,28.7553036,75.9462845,3100,1
226,Bhiwani,Tosham,Garanpura,D/W,28.55493336,75.64636123,1300,2
227,Bhiwani,Tosham,Jhanwari,D/W,28.84020266,75.87397005,1700,2
228,Bhiwani,Tosham,Kharahri Sohan,D/W,28.84491102,75.91238155,1700,2
229,Bhiwani,Tosham,Pinjhokra,D/W,28.89033547,75.82064914,1300,2
230,Bhiwani,Tosham,Sagban,D/W,28.86099312,75.95729926,1800,2
231,Bhiwani,Tosham,Thillor,D/W,28.80413874,75.83653972,1400,2
232,Bhiwani,Tosham,Jhully,D/W,28.81121455,75.75634839,2400,1
233,Bhiwani,Tosham,Nigana Old,D/W,28.77415419,75.94593192,5200,1
234,Bhiwani,Tosham,Khanak,D/W,28.89785922,75.86332115,1800,2
235,Bhiwani,Tosham,Tosham,P/tube,28.86770168,75.90548809,3000,1
236,Bhiwani,Tosham,Mandhan,,28.80039075,75.7285083,1200,2
237,Bhiwani,Tosham,Miran,,28.842,75.739,1600,2
238,Bhiwani,Badhara,Bilawal,D/W/T/w,28.56728746,76.07328593,1100,2
239,Bhiwani,Badhara,Bindraban,T/well,28.55,76.06,900,2
240,Bhiwani,Badhara,Berla,T/well,28.51,76.01,3300,1
241,Bhiwani,Badhara,Chandawas,T/well,28.48313179,75.97036648,900,2
242,Bhiwani,Badhara,Gopi,T/well,28.55304867,75.95231725,1000,2
243,Bhiwani,Badhara,Gopalwas,T/well,28.39870706,76.02238335,1200,2
244,Bhiwani,Badhara,Hui,P/T,28.53906485,75.98635867,800,2
245,Bhiwani,Badhara,Kari Adu,P/T,28.52840572,75.90518218,1900,2
246,Bhiwani,Badhara,Kari Mod (Tohka),P.T.,28.53998479,75.8623988,800,2
247,Bhiwani,Badhara,Kari Rupa,T/well,28.53512677,75.87278361,950,2
248,Bhiwani,Badhara,Kadma,T/well,28.45,76.01,1300,2
249,Bhiwani,Badhara,Kakroli Hatti,T/well,28.5722597,75.9862502,3100,1
250,Bhiwani,Badhara,Kakroli Hukmi,T/well,28.56449054,75.95818106,1100,2
251,Bhiwani,Badhara,Ladawas,T/well,28.58,75.92,1100,2
252,Bhiwani,Badhara,Lad,T/well,28.47457046,75.90937656,1000,2
253,Bhiwani,Badhara,Nandha,T/well/P/t,28.45,75.94,1100,2
254,Bhiwani,Badhara,Todi,T/W,28.50935383,76.08479488,4200,1
255,Bhiwani,Badhara,Unn,T/well,28.4534808,76.07679034,4200,1
256,Bhiwani,Badhara,Atela Kalan,T/w,28.59,76.1,1800,2
257,Bhiwani,Badhara,Dhanasari/ Kanhara,D/W,28.47,76.01,2000,2
258,Bhiwani,Badhara,Badhara,P.T.,28.51815489,75.93623468,1000,2
259,Bhiwani,Badhara,Bilawal,T/w,28.576,76.077,1100,2
260,Bhiwani,Badhara,Badesera,T/W,28.48582566,75.99734965,1100,2
261,Bhiwani,Badhara,Jawali,P/T,28.51798651,75.97027723,1000,2
262,Bhiwani,Loharu,Bardu Mugal,T/well,28.64959582,75.77482237,3900,1
263,Bhiwani,Loharu,Budheri,T/well,28.56152504,75.7006593,3300,1
264,Bhiwani,Loharu,Digawa Jattan,T/well,28.58279098,75.81761478,2600,1
265,Bhiwani,Loharu,Kural,T/well,28.61419344,75.85474401,3100,1
266,Bhiwani,Loharu,Loharu,P.T.,28.4375255,75.81072461,2400,1
267,Bhiwani,Loharu,Nakipur,T/well,28.57744957,75.7391459,1200,2
268,Bhiwani,Loharu,Baralu,T/W,28.52734115,75.72600319,1600,2
269,Bhiwani,Loharu,Digawa Shyama,T/W,28.56997383,75.82468207,2450,1
270,Bhiwani,Loharu,Damkora,T/W,28.50847964,75.71777379,3200,1
271,Bhiwani,Loharu,Dhani Ahmad,T/W,28.692,76.077,2500,1
272,Bhiwani,Loharu,Sigahani,T/w,28.52272335,75.79818215,3200,1
273,Bhiwani,Loharu,Gagarwas,T/W,28.455,75.873,1000,2
274,Bhiwani,Loharu,Sohashara,T/W,28.41,75.863,1800,2
275,Bhiwani,Loharu,Gignow,T/W,28.49,75.803,1500,2
276,Bhiwani,Kairu,Indiwali,T/W,28.67615153,75.82714252,6400,0
277,Bhiwani,Kairu,Devrala,D/W,28.69305273,75.81650741,6100,0
278,Bhiwani,Kairu,Kasumbi,D/W,28.72221939,76.03475412,3300,1
279,Bhiwani,Kairu,Kairu,D/W,28.69,75.87,7200,0
280,Bhiwani,Kairu,Khariawas,D/W,28.73077027,75.85117572,3800,1
281,Bhiwani,Kairu,Lohani,D/W,28.706,76.041,2500,1
282,Bhiwani,Kairu,Lalawas,T/w,28.63205083,75.89949355,3100,1
283,Bhiwani,Kairu,Sungarpur,D/W,28.75,75.86,2200,1
284,Bhiwani,Kairu,Golagarh,T/W,28.6533433,75.97276656,3400,1
285,Bhiwani,Kairu,Kairu,P/T,28.698,75.882,7200,0
286,Bhiwani,Kairu,Chainpura,,28.673,76.064,3300,1
287,Bhiwani,Siwani,Mithi,D/W,28.71411108,75.58734203,7800,0
288,Bhiwani,Siwani,Matani,D/W,28.737618,75.5629716,11200,0
289,Bhiwani,Siwani,Siwach,T/W,28.73025126,75.61580471,4800,1
290,Bhiwani,Siwani,Kalali,D/W,28.76342844,75.63698068,1800,2
291,Bhiwani,Siwani,Talwani,D/W,28.7672384,75.67621743,6600,0
292,Bhiwani,Siwani,Chanana,D/W,28.89096705,75.72851223,1500,2
293,Bhiwani,Siwani,Bhera,D/W,28.82961958,75.68942256,1500,2
294,Bhiwani,Siwani,Khera,D/W,28.91,75.66,1000,2
295,Bhiwani,Siwani,Nalaoi,T/W,28.95076568,75.53565038,1400,2
296,Bhiwani,Siwani,Dhani Mithi,D/W,28.94028417,75.59418088,1000,2
297,Bhiwani,Siwani,Jhumpa Kalan,T/w,28.76897167,75.53539699,1300,2
298,Bhiwani,Siwani,Motipura,D/W,28.8127747,75.55285927,17300,0
299,Bhiwani,Siwani,Budhshelly,T/well,28.82182144,75.57525263,2800,1
300,Bhiwani,Siwani,Dhani Shelwali,D/W,28.87646,75.51233264,1400,2
301,Bhiwani,Siwani,Mohila,T/W,28.85297623,75.62388027,1900,2
302,Bhiwani,Siwani,Siwani,Kow,28.90349183,75.61339622,2000,2
303,Bhiwani,Bahal,Budhera,T/well,28.62518221,75.77745775,3300,1
304,Bhiwani,Bahal,Bidhnoi,T/well,28.64371248,75.71821369,3300,1
306,Bhiwani,Bahal,Sarsi,T/well,28.58862809,75.66936896,3500,1
307,Bhiwani,Bahal,Serla,T/well,28.64343948,75.68713082,3100,1
309,Bhiwani,Bahal,Behal,P/tube,28.63608952,75.61629493,3800,1
311,Bhiwani,Bahal,Paju,T/W,28.57,75.672,2600,1
485,Mahendergarh,Ateli,Tazpur,P.T,28.08497682,76.2316899,1700,2
486,Mahendergarh,Ateli,Kheri,G.B,28.04545159,76.34151785,1600,2
487,Mahendergarh,Ateli,Rampura,G.B,28.07038638,76.32264532,2000,2
488,Mahendergarh,Ateli,Katkai,G.B,28.14315777,76.2270618,1600,2
489,Mahendergarh,Ateli,Sarai Bhadur,D.W,28.07660021,76.17544669,800,2
490,Mahendergarh,Ateli,Ateli (Naodi),DCB,28.09859812,76.26553093,2100,1
491,Mahendergarh,Ateli,Mahasar,P.H,28.15706339,76.27714349,1900,2
492,Mahendergarh,Ateli,Bachhod,P.H,28.08875221,76.19804073,1300,2
493,Mahendergarh,Ateli,Prithipura,DCB,28.0777049,76.2632124,1100,2
494,Mahendergarh,Ateli,Ateli,P.T,28.09568458,76.2593893,1000,2
495,Mahendergarh,Kanina,Chelawas,D.W,28.31295987,76.28704535,1700,2
496,Mahendergarh,Kanina,Chhitroli,D.W,28.37188297,76.26943191,800,2
497,Mahendergarh,Kanina,Gahara,D.W,28.36798991,76.31158941,1400,2
498,Mahendergarh,Kanina,Kharkara,D.W,28.36251475,76.24993076,900,2
499,Mahendergarh,Kanina,Kanina,PT,28.33725478,76.30820751,1400,2
500,Mahendergarh,Kanina,Nangal M.pur,DW,28.29155152,76.27995315,1500,2
501,Mahendergarh,Kanina,Nangal Harnath,DW,28.27757818,76.27747751,1700,2
502,Mahendergarh,Kanina,Pathera,DW,28.32062546,76.21898656,1700,2
503,Mahendergarh,Kanina,Shelang,DW,28.40305499,76.21867918,1500,2
504,Mahendergarh,Kanina,Sundrah,DW,28.24221111,76.2630087,1600,2
505,Mahendergarh,Kanina,Uchat,DW,28.38933169,76.26382156,1200,2
506,Mahendergarh,M.garh,Basai,DCB,28.40485049,76.17504959,2300,1
507,Mahendergarh,M.garh,Deroli Jat,DCB,28.17834854,76.15477794,1500,2
508,Mahendergarh,M.garh,Kothal Khurd,DCB,28.20094886,76.17777605,3300,1
509,Mahendergarh,M.garh,Nihalawas,GB,28.17312509,76.11121347,1500,2
510,Mahendergarh,M.garh,Pali,GB,28.33369508,76.13727035,1800,2
511,Mahendergarh,M.garh,Kurahwata,DCB,28.29015284,76.10665192,3100,1
512,Mahendergarh,M.garh,Palri,DCB,28.31077773,76.12181172,2800,1
513,Mahendergarh,Narnaul,Dohar Kalan,GB,28.12178022,76.01883823,800,2
514,Mahendergarh,Narnaul,God (Balaha Kalan),GB,28.0973961,75.97864982,1200,2
515,Mahendergarh,Narnaul,Faijlipur,PH,28.04647056,76.14863361,1000,2
516,Mahendergarh,Narnaul,Koriawas,GB,28.0350584,76.04054944,500,2
517,Mahendergarh,Narnaul,Mehrampur,DW,28.11040666,76.05688999,800,2
518,Mahendergarh,Narnaul,Kultazpur,DCB,28.05050019,76.02698974,1100,2
519,Mahendergarh,Narnaul,Narnaul,KOW/DW,28.04334614,76.11209943,2000,2
520,Mahendergarh,Narnaul,Narnaul,PT,28.0409951,76.10270549,1300,2
521,Mahendergarh,Narnaul,Nuniaval,DW,28.0718691,76.13411054,800,2
522,Mahendergarh,Narnaul,Raghunathpura,DCB,28.07123757,76.06691041,1700,2
523,Mahendergarh,Narnaul,Thana,GB,28.05667103,76.04073683,900,2
524,Mahendergarh,Narnaul,Bhakhari Kalan,DW,28.08711588,76.01197713,500,2
525,Mahendergarh,N/chd,Bamanwaskheta,GB,27.87248665,76.15617875,900,2
